City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,igarka,67.47,86.58,-32.19,76,30,1.32,RU,1609519519
131,vilyuysk,63.76,121.62,-34.22,84,98,2.62,RU,1609519520
132,dauriya,49.93,116.87,-27.78,84,0,3.37,RU,1609519520
133,puerto rico,-26.8,-55.02,34.94,18,0,1.79,AR,1609519520
134,college,64.86,-147.8,-18.04,69,20,1.84,US,1609519454
135,hostinne,50.54,15.72,-2.34,93,92,1.13,CZ,1609519520
136,chapais,49.78,-74.85,-12.0,85,90,4.6,CA,1609519520
137,escanaba,45.75,-87.06,-5.73,92,90,1.38,US,1609519224
138,kvarkeno,52.08,59.73,-15.99,92,100,2.52,RU,1609519520
139,rio grande,-32.03,-52.1,30.29,23,0,2.37,BR,1609519327
140,mashhad,36.3,59.61,1.0,50,0,3.1,IR,1609519476
141,srednekolymsk,67.45,153.68,-35.98,84,100,0.38,RU,1609519520
142,waipawa,-41.41,175.52,15.28,93,100,4.6,NZ,1609519521
143,fuji,35.17,138.68,-0.91,77,0,0.89,JP,1609519521
144,clyde river,70.47,-68.59,-25.0,75,1,1.5,CA,1609519489
145,mamurras,41.58,19.69,9.0,76,40,1.0,AL,1609519521
146,korla,41.76,86.15,-8.24,88,100,0.95,CN,1609519521
147,arman,59.7,150.17,-23.59,78,33,6.17,RU,1609519521
148,dingle,11.0,122.67,23.98,91,78,3.47,PH,1609519521
149,redlands,34.06,-117.18,12.1,24,1,8.7,US,1609519302
150,chilca,-12.52,-76.74,22.82,73,75,5.1,PE,1609519521
151,chilliwack,49.17,-121.94,4.97,93,100,2.6,CA,1609519521
152,hai duong,20.93,106.32,11.63,76,0,2.6,VN,1609519521
153,namibe,-15.2,12.15,22.19,75,100,4.72,AO,1609519522
154,mbarara,-0.61,30.65,17.12,91,100,0.4,UG,1609519522
155,laguna,38.42,-121.42,5.66,87,90,2.1,US,1609519522
156,changli,39.7,119.15,-9.59,90,26,2.66,CN,1609519522
157,puerto baquerizo moreno,-0.9,-89.6,25.0,83,40,5.1,EC,1609519522
158,soure,-0.72,-48.52,29.1,66,91,2.54,BR,1609519522
159,talara,-4.58,-81.27,28.0,54,0,7.2,PE,1609519240
160,berbera,10.44,45.01,24.72,72,83,6.07,SO,1609519522
161,saldanha,-33.01,17.94,24.0,38,0,10.3,ZA,1609519522
162,constantine,36.37,6.61,9.0,45,40,5.7,DZ,1609519522
163,sao miguel do araguaia,-13.28,-50.16,33.39,48,84,1.48,BR,1609519510
164,panino,51.65,40.13,0.0,97,90,5.0,RU,1609519522
