,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Main Industry,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters)
24,Africa,TCD,Chad,1.5,"tropical in south, desert in north",oil,Sub-Saharan Africa,4.422699928,48.22053909,7.467963696,12.14801119,0.05
25,South America,CHL,Chile,9.3,temperate; desert in north; Mediterranean in central region; cool and damp in south,copper,Latin America and Caribbean,6.228499889,69.90061951,10.0320549,16.19709277,2.65
26,Asia,CHN,China,7.2,extremely diverse; tropical in south to subarctic in north,world leader in gross value of industrial output,East Asia,5.123899937,69.2891922,9.688568115,11.49770565,0.17
27,South America,COL,Colombia,5.8,tropical along coast and eastern plains; cooler in highlands,textiles,Latin America and Caribbean,6.163400172999999,67.69958496,9.500369072,10.06709708,0.05
28,Africa,COM,Comoros,0.9,tropical marine; rainy season (November to May),fishing,Sub-Saharan Africa,4.288599968,57.34901047,7.833630085,12.23160528,0.05
29,North America,CRI,Costa Rica,4.8,tropical and subtropical; dry season (December to April); rainy season (May to November); cooler in highlands,microprocessors,Latin America and Caribbean,7.121399879,71.29985046,9.658156395,10.79582339,0.27
30,Europe,HRV,Croatia,8.9,"Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast",chemicals and plastics,Central and Eastern Europe,5.504700184,70.21490479,10.07087517,11.77945199,6.25
31,Europe,CYP,Cyprus,10.8,"temperate; Mediterranean with hot, dry summers and cool winters",tourism,Western Europe,6.15899992,73.70222473,10.40570259,14.2775815,2.48
32,Africa,BEN,Benin,3.0,"tropical; hot, humid in south; semiarid in north",textiles,Sub-Saharan Africa,5.21600008,54.31246567,7.674319744,11.78810722,0.22
33,Europe,DNK,Denmark,10.4,"temperate; humid and overcast; mild, windy winters and cool summers",iron,Western Europe,7.645599842,72.40250397,10.77400112,14.89574698,4.35
34,North America,DOM,Dominican Republic,6.9,tropical maritime; little seasonal temperature variation; seasonal variation in rainfall,tourism,Latin America and Caribbean,5.689199924,65.80748749,9.664880753,13.38515549,0.22
