,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
18,Europe,BIH,Bosnia and Herzegovina,6.4,"hot summers and cold winters; areas of high elevation have short, cool summers and long, severe winters; mild, rainy winters along coast",Central and Eastern Europe,5.674099922000001,67.80813599,9.455817223,11.69452752,0.15,GDP up to 10
19,Africa,BWA,Botswana,8.4,semiarid; warm winters and hot summers,Sub-Saharan Africa,3.478899956,58.92445374,9.711203575,12.32002157,0.59,GDP up to 10
20,South America,BRA,Brazil,7.8,"mostly tropical, but temperate in south",Latin America and Caribbean,6.375599861,66.48016357,9.56643486,14.2402715,0.27,GDP up to 10
24,Europe,BGR,Bulgaria,12.7,"temperate; cold, damp winters; hot, dry summers",Central and Eastern Europe,5.101500034,66.80397797,9.869318962000001,11.4517152,2.87,GDP up to 10
25,Asia,MMR,Myanmar,4.8,,Southeast Asia,4.308000088,58.96171188,8.680481911000001,12.27146556,0.0,GDP up to 9
26,Africa,BDI,Burundi,7.5,"equatorial; high plateau with considerable altitude variation (772 m to 2,670 m above sea level); average annual temperature varies with altitude from 23 to 17 degrees Celsius but is generally moderate as the average altitude is about 1,700 m; average annual rainfall is about 150 cm; two wet seasons (February to May and September to November), and two dry seasons (June to August and December to January)",Sub-Saharan Africa,3.775300026,53.40000153,6.492642403,13.28411749,0.0,GDP up to 7
27,Europe,BLR,Belarus,11.2,"cold winters, cool and moist summers; transitional between continental and maritime",Commonwealth of Independent States,5.539899826,66.10433197,9.779945374,12.06693399,0.37,GDP up to 10
28,Asia,KHM,Cambodia,6.7,"tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation",Southeast Asia,4.8484001160000005,61.52996826,8.249890327000001,13.50304493,0.02,GDP up to 9
29,Africa,CMR,Cameroon,8.9,"varies with terrain, from tropical along coast to semiarid and hot in north",Sub-Saharan Africa,5.084899902,52.7049408,8.118647575,11.61166356,0.11,GDP up to 9
30,North America,CAN,Canada,8.9,varies from temperate in south to subarctic and arctic in north,North America and ANZ,7.23210001,73.60160065,10.69236851,15.55324495,2.0,GDP up to 11
32,Africa,CAF,Central African Republic,3.3,"tropical; hot, dry winters; mild to hot, wet summers",Sub-Saharan Africa,3.475899935,45.20000076,6.625160217,12.63780875,0.02,GDP up to 7
33,Asia,LKA,Sri Lanka,4.3,tropical monsoon; northeast monsoon (December to March); southwest monsoon (June to October),South Asia,4.327000141,67.20006561,9.389969826,12.66467191,0.01,GDP up to 10
34,Africa,TCD,Chad,1.5,"tropical in south, desert in north",Sub-Saharan Africa,4.422699928,48.22053909,7.467963696,12.14801119,0.05,GDP up to 8
